date,sessionSource,sessions_last_30_days,activeUsers_last_30_days,screenPageViews_last_30_days
2025-07-08,l.facebook.com,2,1,3
2025-07-08,qwant.com,2,2,35
2025-07-08,search.brave.com,2,1,20
2025-07-09,chatgpt.com,2,2,2
2025-07-09,hattila.com,2,1,2
2025-07-09,l.facebook.com,2,2,11
2025-07-10,duckduckgo,2,1,2
2025-07-10,hattila.com,2,2,2
2025-07-10,search.brave.com,2,2,2
2025-06-11,(not set),1,1,0
2025-06-11,checkout.getalma.eu,1,1,6
2025-06-11,l.facebook.com,1,0,1
2025-06-11,search.lilo.org,1,1,1
2025-06-12,(not set),1,1,1
2025-06-12,ecosia.org,1,1,1
2025-06-12,fr.search.yahoo.com,1,0,1
2025-06-12,hattila.com,1,1,3
2025-06-12,lm.facebook.com,1,1,15
2025-06-12,m.facebook.com,1,1,3
2025-06-12,qwant.com,1,1,2
2025-06-12,search.lilo.org,1,1,1
2025-06-12,web-explore.com,1,1,1
2025-06-13,ecosia.org,1,1,6
2025-06-13,fr.search.yahoo.com,1,1,1
2025-06-13,qwant.com,1,1,2
2025-06-13,search.brave.com,1,1,5
2025-06-14,chatgpt.com,1,1,1
2025-06-14,ecosia.org,1,1,1
2025-06-14,lm.facebook.com,1,1,1
2025-06-14,m.facebook.com,1,1,1
2025-06-14,m.youtube.com,1,1,21
2025-06-14,redirect.ppro.com,1,1,10
2025-06-14,search.brave.com,1,1,3
2025-06-14,yahoo,1,1,1
2025-06-15,duckduckgo,1,1,1
2025-06-15,ecosia.org,1,1,1
2025-06-15,hattila.com,1,1,2
2025-06-15,ig,1,1,1
2025-06-15,l.facebook.com,1,0,1
2025-06-15,search.brave.com,1,1,1
2025-06-16,checkout.getalma.eu,1,1,1
2025-06-16,fr.search.yahoo.com,1,1,1
2025-06-16,ig,1,1,2
2025-06-16,startpage.com,1,1,1
2025-06-17,chatgpt.com,1,1,1
2025-06-17,checkout.getalma.eu,1,1,1
2025-06-17,duckduckgo,1,1,1
2025-06-17,ig,1,0,1
2025-06-17,m.facebook.com,1,1,1
2025-06-17,search.lilo.org,1,1,1
2025-06-18,(data not available),1,1,3
2025-06-18,checkout.getalma.eu,1,1,8
2025-06-18,ig,1,1,12
2025-06-18,m.youtube.com,1,1,3
2025-06-19,duckduckgo,1,1,1
2025-06-19,hattila.com,1,1,3
2025-06-19,ig,1,1,1
2025-06-19,instagram.com,1,1,6
2025-06-19,search.lilo.org,1,1,1
2025-06-19,societe-des-avis-garantis.fr,1,1,21
2025-06-19,zimbra.free.fr,1,1,18
2025-06-20,ig,1,1,1
2025-06-20,lm.facebook.com,1,0,1
2025-06-20,mail.google.com,1,1,17
2025-06-20,qwant.com,1,1,4
2025-06-20,search.brave.com,1,1,4
2025-06-21,chatgpt.com,1,1,1
2025-06-21,search.brave.com,1,1,1
2025-06-22,(not set),1,1,13
2025-06-22,duckduckgo,1,1,6
2025-06-22,l.facebook.com,1,1,11
2025-06-22,m.facebook.com,1,1,1
2025-06-22,m.youtube.com,1,1,2
2025-06-23,hattila.com,1,1,1
2025-06-23,l.facebook.com,1,1,4
2025-06-23,m.facebook.com,1,1,3
2025-06-23,mail01.orange.fr,1,1,1
2025-06-23,search.lilo.org,1,1,1
2025-06-24,copilot.microsoft.com,1,1,4
2025-06-24,search.brave.com,1,1,49
2025-06-25,(data not available),1,1,3
2025-06-25,(not set),1,1,3
2025-06-25,chatgpt.com,1,1,70
2025-06-25,checkout.getalma.eu,1,1,5
2025-06-25,hattila.com,1,1,2
2025-06-25,l.facebook.com,1,1,8
2025-06-25,mail02.orange.fr,1,1,11
2025-06-26,chatgpt.com,1,1,1
2025-06-26,hattila.com,1,1,1
2025-06-26,l.facebook.com,1,1,4
2025-06-26,m.facebook.com,1,1,3
2025-06-26,m.youtube.com,1,1,7
2025-06-27,duckduckgo,1,1,1
2025-06-27,ecosia.org,1,1,1
2025-06-27,fr.search.yahoo.com,1,1,2
2025-06-27,m.facebook.com,1,1,3
2025-06-27,mail02.orange.fr,1,1,12
2025-06-27,ntp.msn.com,1,1,3
2025-06-28,chatgpt.com,1,1,1
2025-06-28,duckduckgo,1,1,1
2025-06-28,fr.search.yahoo.com,1,1,1
2025-06-28,l.facebook.com,1,1,19
2025-06-28,mail02.orange.fr,1,1,19
2025-06-28,probance,1,0,1
2025-06-28,search.brave.com,1,1,2
2025-06-29,(not set),1,1,0
2025-06-29,duckduckgo,1,1,12
2025-06-29,hattila.com,1,1,1
2025-06-29,ig,1,1,3
2025-06-29,l.facebook.com,1,1,2
2025-06-29,l.instagram.com,1,1,1
2025-06-29,m.facebook.com,1,1,2
2025-06-29,mail02.orange.fr,1,1,6
2025-06-29,qwant.com,1,1,6
2025-06-30,chatgpt.com,1,1,12
